item_id,title,category,brand,gender,age_group,attributes
ITEM_3a515fb7125d,erkek kumaş usb kulaklık çıkışlı bodybag göğüs ve omuz çantası - siyah - beyaz,aksesuar/çanta/omuz çantası,newish polo,erkek,yetişkin,"materyal: tekstil, deri kalitesi: parça mevcut değil, renk: gri, materyal bileşeni: astar: 100% polyester, ortam: casual/günlük, yıkama talimatı: type 4, desen: düz, kumaş tipi: dokuma, koleksiyon: basic, sürdürülebilirlik detayı: hayır, kapasite: 0 -1 l, paket içeriği: tekli, yaş: tüm yaş grupları, menşei: tr, sezon: tüm sezonlar, color detail: siyah - beyaz"
ITEM_94fe5db929cd,orijinal italyan charm bileklik kişiselleştirilebilir siyah-gümüş kalp charm hediyeli made in italy,aksesuar/takı & mücevher/bileklik/çelik bileklik,nomination,unisex,yetişkin,"taş cinsi: yok, renk: gri, materyal: paslanmaz çelik, garanti süresi: 1 yıl, menşei: it, bakım talimatları (genel): nemli bir bezle silin., color detail: kurşun gri"
ITEM_576afa5db9a1,kupa bardak alchemist high,ev & mobilya/ev/sofra & mutfak/sofra/bardak,qivi,unknown,unknown,"materyal: seramik, parça sayısı: 1, renk: beyaz, bakım talimatları (gıda temas): ürünün kullanım ömrünü korumak için ürüne özel bakım talimatlarını takip ediniz., color detail: beyaz"
ITEM_846531067083,çizgili geniş kol koton gömlek,giyim/üst giyim/gömlek,ayhan,kadın,yetişkin,"desen: çizgili, kalıp: regular, yaka tipi: v yaka, kumaş tipi: dokuma, kol tipi: manşetli kol, renk: yeşil, materyal: pamuklu, cep: cepsiz, kol boyu: truvakar kol, boy: standart, ortam: günlük, siluet: basic, dokuma tipi: poplin, sürdürülebilirlik detayı: hayır, kemer/kuşak durumu: kemersiz, yıkama talimatı: type 1, menşei: tr, kutu durumu: kutu yok, color detail: yeşil"
ITEM_1c3943c4d220,kapaklı katlanabilir puantiyeli pembe 60 litre çamaşır sepeti,ev & mobilya/ev/ev gereçleri/çamaşırlık ev gereçleri/çamaşır sepeti,serstil,unknown,unknown,"materyal: polipropilen, renk: pembe, hacim: 60 l, boyut/ebat: 40 x 30, yıkama talimatı: yıkanmaz, sadece silinebilir, materyal bileşeni: %100 jüt, menşei: tr, özellik: kapaklı, color detail: pembe benekli"
ITEM_5261384a9f76,parmak led modül cob ledli beyaz su geçirmez (12 v)(10 adet),otomobil & motosiklet/otomobil yedek parça/elektrik aksam/oto lambası,carub,unknown,unknown,"araç marka ve model: universal, özellik: hava"
ITEM_24f6f7250e3c,ahşap kirpi bultak dikkat akıl zeka mantık ve strateji oyunu,anne & bebek & çocuk/oyuncak/kutu oyunu,a v d a,unknown,çocuk,"oyuncu sayısı: belirtilmemiş, yaş: 3+ yaş, dil: evrensel dil, menşei: tr, özellik: belirtilmemiş"
ITEM_1cd5e4971f90,güneş enerjili bahçe aydınlatma sokak lambası 8 gözlü solar hareket sensörlü projektör,bahçe & elektrikli el aletleri/bahçe/bahçe dekorasyonu/bahçe aydınlatması,technosmart,unknown,unknown,"tip: bahçe aydınlatma, güç (watt): 100 watt, duy tipi: led, enerji tasarrufu: var, menşei: cn, özellik: solar"
ITEM_037316f7ea05,dilek halı istinye - 2959a,ev & mobilya/mobilya/halı / kilim/halı,dilek hali,unknown,unknown,"özellik: yıkanabilir, materyal: akrilik, tema / stil: klasik, renk: bej, üretim şekli: makine halısı, taban: pamuk, şekil: dikdörtgen, hav yüksekliği: kalın (12 mm +), kullanım alanı: salon / oturma odası, saçak tipi: düz saçak, menşei: tr, yıkama talimatı: type 0, color detail: krem - kahverengi"
ITEM_5d0991a513c3,gazelle indoor w kadın günlük ayakkabı if6982 haki,ayakkabı/spor ayakkabı/koşu & antrenman ayakkabısı,adidas,unisex,yetişkin,"bağlama şekli: bağcıklı, dış materyal: süet, renk: haki, taban materyali: kauçuk, saya materyali: suni deri, topuk boyu: kısa topuklu (1- 4 cm), iç taban materyali: suni deri, astar materyali: tekstil, materyal bileşeni: suni deri ve inek derisi içermektedir, yıkama talimatı: type 4, topuk tipi: düz topuklu, desen: düz, kumaş tipi: dokuma, koleksiyon: unisex, ek özellik: ek özellik mevcut değil, sürdürülebilirlik detayı: hayır, ortam: sportswear, menşei: cn, color detail: haki-6982"
ITEM_0d71c1bc7c83,🎮 gta san andreas yenilenmiş grafik | usb flash bellek ile gönderilen bilgisayar oyunu,elektronik/oyun & oyun konsolları/bilgisayar oyunu,tigdes,unknown,unknown,"garanti tipi: ithalatçı garantili, oyun türü: aksiyon, menşei: tr, bluetooth: yok"
ITEM_b182b0b35b6c,erkek siyah atlet %100 pamuk 2'li paket,giyim/iç giyim/atlet,blackspade,erkek,yetişkin,"kol tipi: askılı, yaka tipi: bisiklet yaka, materyal: pamuklu, renk: siyah, paket içeriği: 2'li, desen: düz, ürün tipi: düz, kalıp: relaxed, kol boyu: askılı, koleksiyon: iç giyim, kumaş tipi: dokuma, ek özellik: ek özellik mevcut değil, dokuma tipi: 2 iplik, siluet: regular, baskı/nakış tekniği: transfer baskı, ortam: casual/günlük, sürdürülebilirlik detayı: hayır, boy: regular, materyal bileşeni: 100% pamuk, yıkama talimatı: type 1, menşei: tr, color detail: siyah"
ITEM_60d164f7c52b,lacivert kemerli dökümlü elbise 93776,giyim/elbise,societa,kadın,yetişkin,"kumaş tipi: dokuma, materyal: viskon, kol tipi: uzun kol, desen: düz, kalıp: regular, renk: lacivert, yaka tipi: gömlek yaka, kapama şekli: düğmeli, kol boyu: uzun, ürün detayı: kemerli, kalınlık: ince, astar durumu: astarsız, boy: midi, ortam: günlük, kemer/kuşak durumu: kemerli, sürdürülebilirlik detayı: hayır, yıkama talimatı: type 1, kutu durumu: kutu yok, color detail: lacivert"
ITEM_bc8a459ec797,craft notes sp sert kapak 100 yp çizgili,kırtasiye & ofis malzemeleri/kırtasiye kağıt ürünleri/defter,gıpta,unknown,unknown,"kapak türü: sert, tel tipi: spiralli, boyut: orta boy, renk: çok renkli, defter tipi: not defteri, sayfa tipi: çizgili, kağıt boyutu: a5, sayfa sayısı: 100 yaprak, color detail: renkli"
ITEM_3df9da25a71a,erkek hakiki deri yumuşak ortopedik jel taban siyah günlük ayakkabı,ayakkabı/günlük ayakkabı/klasik ayakkabı,nazenintasarımlar,erkek,yetişkin,"materyal: hakiki deri, astar materyali: hakiki deri, renk: siyah, taban materyali: kauçuk, saya materyali: hakiki deri, topuk boyu: kısa topuklu (1- 4 cm), iç taban materyali: hakiki deri, bağlama şekli: bağcıklı, sürdürülebilirlik detayı: hayır, topuk tipi: ince topuklu, materyal bileşeni: 100% deri, yıkama talimatı: type 4, desen: düz, kumaş tipi: denim, ortam: casual, kutu durumu: kutulu, dış materyal: hakiki deri, color detail: siyah"
ITEM_1e7f85bc9fde,juniper 3.0 mont,giyim/dış giyim/kaban & mont/mont,helly hansen,erkek,yetişkin,"kalıp: slim, yaka tipi: kapüşonlu, materyal: polyester, kumaş tipi: dokuma, renk: siyah, desen: düz, ürün tipi: baskılı, cep: cepsiz, kol boyu: uzun, kol tipi: uzun kol, astar durumu: astarlı, boy: normal boy, ortam: günlük, siluet: basic, ek özellik: su geçirmez, sürdürülebilirlik detayı: hayır, kemer/kuşak durumu: kemersiz, dolgu materyali: polyester, yıkama talimatı: type 2, menşei: vn, kutu durumu: kutu yok, color detail: black"
ITEM_6ad5d5b2d184,hyaluronic acid collagen complex 120 mg 30 tablet,süpermarket/sağlık/gıda takviyesi ve vitamin/kolajen,solgar,unknown,unknown,"aroma: aromasız, form: tablet, içerik: kolajen, özellik: tip 2, tip: sığır kolajen, paket içeriği: 30'lu, set içerik adeti: 1, menşei: us"
ITEM_863e1c124a8c,kırmızı mini kalp desenli kalem çantası,kırtasiye & ofis malzemeleri/kalem/kalem kutusu,batekso,unknown,unknown,"şekil: cüzdan tipi, materyal: tekstil, renk: çok renkli, menşei: tr, color detail: çok renkli"
ITEM_3597adf6a200,"8 bölmeli plastik tabaklık, tencere kapak düzenleyici organizer | şık kırılmaz esnek tabaklık",ev & mobilya/ev/ev gereçleri/depolama&düzenleme ürünleri/dolap içi düzenleyici,gondol,unknown,unknown,"parça sayısı: 1 parça, materyal: plastik, boyut/ebat: 45 x 35, renk: siyah, yıkama talimatı: type 0, color detail: siyah"
ITEM_9f7a4184a197,2 adet el işi iğne işi yazma/2 kenar oyalı/iğne oyalı yemeni/çeyizlik tülbent/100x100/cenk yazma,giyim/tesettür giyim/eşarp,papatyam,unknown,yetişkin,"materyal: pamuklu, boyut/ebat: 100 x 100, renk: çok renkli, desen: çiçekli, yıkama talimatı: type 1, kumaş tipi: örme, sürdürülebilirlik detayı: evet, menşei: tr, color detail: çok renkli"
ITEM_535ed117f32d,life under the ground 500 parça puzzle,hobi & eğlence/oyun grupları/puzzle,ks games,unknown,unknown,"diğer özellikler: yapboz puzzle, menşei: tr, yaş: belirtilmemiş, ürün uyarıları (oyuncak): 3 yaş altı için uygun değildir., özellik: geri dönüştürülebilir"
ITEM_84a862ec23c1,samsung galaxy m13 uyumlu lansman kılıf altı kapalı içi kadife mickey mouse-g tasarımlı kapak,elektronik/elektronik aksesuarlar/cep telefonu aksesuarları/kapak & kılıf,printify,unknown,unknown,"materyal: silikon, cep telefonu modeli: samsung galaxy m13, renk: siyah, uyumlu marka: samsung uyumlu, menşei: tr, color detail: siyah"
ITEM_c8ca8c43a1b8,stencil tasarım yu050 - dekoratif duvar ve eşya boyama şablonları 30x30 cm,kırtasiye & ofis malzemeleri/sanatsal malzemeler/sanatsal kağıt & kalem,stenciltasarim,unknown,unknown,"kalem ucu boyutu: b, kağıt boyutu: a3, kağıt tipi: akrilik boya kağıdı, sanatsal kalem tipi: eskiz kalemi, renk: beyaz, color detail: beyaz"
ITEM_dc73720c17c5,6 adet buzdolabı kapak içi düzenleyici organizer buzdolabı içi düzenleyici,ev & mobilya/ev/ev gereçleri/depolama&düzenleme ürünleri/buzdolabı düzenleyici,fesya home,unknown,unknown,"parça sayısı: 6, materyal: plastik, boyut/ebat: 10 x 15, menşei: tr"
ITEM_1e8491098f8e,renault fluence araca uyumlu oto koltuk kılıfı nanotech tay tüyü kir leke tutmaz,anne & bebek & çocuk/çocuk gereçleri/oto koltuğu ve aksesuarları/oto koltuğu aksesuarı,şentürk,unisex,unknown,"renk: bej, özellik: uzun, color detail: bej"
ITEM_a229da109c43,corength direnç bandı 15 kg traınıng band,spor & outdoor/ekipman & aksesuar/pilates & yoga/pilates malzemeleri/direnç lastiği,decathlon,unknown,unknown,"tip: direnç lastiği, renk: turkuaz, sertlik: orta sert, menşei: tr, bakım talimatları (genel): ürünün kullanım ömrünü korumak için ürüne özel bakım talimatlarını takip ediniz., color detail: turkuaz"
