text,source,actual,predicted,error_type
"I felt asleep the first time I watched it, so I can recommend it for insomniacs.",imdb,0,1,false_positive
"too bad cause I know it's family owned, I really wanted to like this place.",yelp,0,1,false_positive
"I do not know if this was Emilio Estevez's directorial debut, but the pacing, the interplay and development of the characters as well as some clever camera work surrounding the character Estevez plays all suggest a natural eye.",imdb,1,0,false_negative
"The soundtrack wasn't terrible, either.",imdb,1,0,false_negative
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",yelp,1,0,false_negative
The stories were as unbelievable as the actors.,imdb,0,1,false_positive
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,amazon,1,0,false_negative
"My father has the V265, and the battery is dying.",amazon,0,1,false_positive
Now imagine that every single one of those decisions was made wrong.,imdb,0,1,false_positive
"The movie showed a lot of Florida at it's best, made it look very appealing.",imdb,1,0,false_negative
"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",yelp,0,1,false_positive
Why was this film made?,imdb,0,1,false_positive
"And the drinks are WEAK, people!",yelp,0,1,false_positive
I've had better atmosphere.,yelp,0,1,false_positive
These products cover up the important light sensor above the ear outlet.,amazon,0,1,false_positive
"Plus, it's only 8 bucks.",yelp,1,0,false_negative
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,yelp,1,0,false_negative
"To be honest with you, this is unbelievable nonsense and very foolish.",imdb,0,1,false_positive
"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",yelp,0,1,false_positive
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,amazon,0,1,false_positive
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,yelp,0,1,false_positive
The battery runs down quickly.,amazon,0,1,false_positive
"Also, I feel like the chips are bought, not made in house.",yelp,0,1,false_positive
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,amazon,0,1,false_positive
It is unusable in a moving car at freeway speed.,amazon,0,1,false_positive
Seriously killer hot chai latte.,yelp,1,0,false_negative
A film not easily forgotten.,imdb,1,0,false_negative
Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,amazon,0,1,false_positive
"After one bite, I was hooked.",yelp,1,0,false_negative
":) Anyway, the plot flowed smoothly and the male-bonding scenes were a hoot.",imdb,1,0,false_negative
"The chains, which I'm no fan of, beat this place easily.",yelp,0,1,false_positive
It was a long time that i didn't see a so charismatic actor on screen.,imdb,1,0,false_negative
the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.,imdb,0,1,false_positive
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,amazon,0,1,false_positive
It was just not a fun experience.,yelp,1,0,false_negative
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,amazon,0,1,false_positive
"You get incredibly fresh fish, prepared with care.",yelp,1,0,false_negative
If you check the director's filmography on this site you will see why this film didn't have a chance.,imdb,0,1,false_positive
The screen does get smudged easily because it touches your ear and face.,amazon,0,1,false_positive
"Easily, none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).",imdb,1,0,false_negative
It'll be a regular stop on my trips to Phoenix!,yelp,1,0,false_negative
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,yelp,0,1,false_positive
But in terms of the writing it's very fresh and bold.,imdb,1,0,false_negative
No complaints!,yelp,1,0,false_negative
I had to go to a store and bought a new NOKIA phone which is working great.,amazon,1,0,false_negative
You won't be disappointed.,yelp,1,0,false_negative
It does everything the description said it would.,amazon,1,0,false_negative
