term_id,query,candidate_count,positive_count,relevant_item_ids,evaluation_eligibility
TERM_00416cb7,tezgah üstü bulaşık makinesi,13,3,"['ITEM_e761981f9e7b', 'ITEM_eac65ea42c0a', 'ITEM_ed411255e75b']",True
TERM_00aae287,lilac home yapay çiçek,38,10,"['ITEM_08cfd239baf7', 'ITEM_5e1d20d8e6e7', 'ITEM_654e793c56c5', 'ITEM_65fd074887a7', 'ITEM_787c3db92420', 'ITEM_9a09f6eeceec', 'ITEM_c1e123f3a6aa', 'ITEM_d83c942496d2', 'ITEM_fa0a257b05a1', 'ITEM_fb8391579e4a']",True
TERM_010b17df,amazfit,6,2,"['ITEM_23e412ea1ca4', 'ITEM_c559ff4cb9c9']",True
TERM_01844fe7,termal kamera,24,3,"['ITEM_10acaf7784ab', 'ITEM_673476e2d1ce', 'ITEM_bbc1d3593c2c']",True
TERM_01905321,masa örtüsü kumaşı,45,10,"['ITEM_1eb081c2b2a4', 'ITEM_2a213acdef92', 'ITEM_5f149a58b78f', 'ITEM_620f2e0c1fb4', 'ITEM_9768f9fe7d81', 'ITEM_aeff979a36dd', 'ITEM_ceb453dbc959', 'ITEM_ceba58d962a5', 'ITEM_fc85a7e4d4f4', 'ITEM_fe5793adcaf0']",True
TERM_01b2d23a,sütaş tereyağ,9,3,"['ITEM_3611de2cb397', 'ITEM_3b3c47bab35e', 'ITEM_776abe56b7d2']",True
TERM_01effb8d,ekol on triko,8,2,"['ITEM_405f28370b24', 'ITEM_9779952987c6']",True
TERM_01f0fe6c,revox şampuan,22,5,"['ITEM_55566aad882d', 'ITEM_90d478ed6920', 'ITEM_c49c97f37dbd', 'ITEM_d8bb0ed3d8bb', 'ITEM_ecd155752872']",True
TERM_0207161a,duş borusu,4,1,['ITEM_4f2aca4cb061'],True
TERM_02183775,karcher sc 4,4,1,['ITEM_4db78de21d92'],True
TERM_02714707,yuka atelier omuz çantası,25,7,"['ITEM_0756e84d2111', 'ITEM_22007139d440', 'ITEM_54156e6900ec', 'ITEM_749b82ee789a', 'ITEM_8e9b218b55f7', 'ITEM_a924a5a2898b', 'ITEM_e6bc03562961']",True
TERM_02777c67,bts tişört,36,9,"['ITEM_1657a31186e2', 'ITEM_19c1d6eef1b7', 'ITEM_2050a007db95', 'ITEM_387b9955b649', 'ITEM_400a6ca2a957', 'ITEM_615318b06526', 'ITEM_82f1615fdd3c', 'ITEM_d579aeb26f41', 'ITEM_ea9113c7d2f0']",True
TERM_02b199d1,renax,22,5,"['ITEM_07aa5572c284', 'ITEM_07fee1b3e13e', 'ITEM_624379a4b6d9', 'ITEM_c2dcd7de401a', 'ITEM_fbb230dabd1b']",True
TERM_03931875,konvoy havlusu,37,9,"['ITEM_0cdff78ceeda', 'ITEM_0e69fc6f18b9', 'ITEM_2fb3242a376d', 'ITEM_8d3b44c0400b', 'ITEM_9ea66185e04c', 'ITEM_a6c3357c3d9c', 'ITEM_dc35cb8029d3', 'ITEM_f0b1d79f3d32', 'ITEM_f5dd246ca538']",True
TERM_04187d16,sinbo mikser & mikser seti,3,1,['ITEM_0e96cf50eede'],True
TERM_042473bb,bohem duvar rafı,10,2,"['ITEM_20182e09ae41', 'ITEM_8dd1e60671c4']",True
TERM_042e545b,kızlar çetesi,16,4,"['ITEM_0862c64bfcc5', 'ITEM_1ce5876ebba5', 'ITEM_2d86bc904b4e', 'ITEM_e7f09c67a90c']",True
TERM_04674f06,musluk bataryası,133,33,"['ITEM_1a6a1f9a841b', 'ITEM_244b70c7e191', 'ITEM_26561b467958', 'ITEM_3075196716ff', 'ITEM_31b6be0bbd04', 'ITEM_33f469b0b3d3', 'ITEM_347e6ba15409', 'ITEM_39aa63b283cc', 'ITEM_45c929646a99', 'ITEM_4b2219896bd5', 'ITEM_500ad827b88a', 'ITEM_53c6e143f372', 'ITEM_58232dd2d703', 'ITEM_6b311aa272e2', 'ITEM_73db92e9603c', 'ITEM_7801e5e213c5', 'ITEM_84e8d4d9e4a6', 'ITEM_88d6fe25a1c2', 'ITEM_8a3527ce0632', 'ITEM_8dfb7c116614', 'ITEM_91468823e17f', 'ITEM_9935353eb47e', 'ITEM_9947e69e2e35', 'ITEM_9c2ac67b5eb9', 'ITEM_9eeb0a6e33ea', 'ITEM_be1c1679f031', 'ITEM_ca385e8ac154', 'ITEM_d9bc77fb6790', 'ITEM_e347e61b762e', 'ITEM_e597cf001ff4', 'ITEM_f21aaded1fc4', 'ITEM_f7f63bd61f62', 'ITEM_f850035f05aa']",True
