category,rows,positive_rate,precision,recall,f1
ayakkabı/spor ayakkabı/sneaker,660.0,0.27424242424242423,0.9145299145299145,0.5911602209944752,0.7181208053691275
aksesuar/saat,300.0,0.19666666666666666,0.76,0.6440677966101694,0.6972477064220184
giyim/dış giyim/kaban & mont/mont,292.0,0.24315068493150685,0.8627450980392157,0.6197183098591549,0.7213114754098361
giyim/alt giyim/pantolon,262.0,0.2633587786259542,0.8524590163934426,0.7536231884057971,0.8
aksesuar/gözlük/güneş gözlüğü,262.0,0.1984732824427481,0.6666666666666666,0.6153846153846154,0.64
aksesuar/çanta/omuz çantası,222.0,0.26126126126126126,0.8260869565217391,0.6551724137931034,0.7307692307692307
ayakkabı/bot & çizme/bot & bootie,218.0,0.22935779816513763,0.7714285714285715,0.54,0.6352941176470588
giyim/üst giyim/t-shirt,206.0,0.24271844660194175,0.7209302325581395,0.62,0.6666666666666666
giyim/üst giyim/sweatshirt,202.0,0.19306930693069307,0.8888888888888888,0.6153846153846154,0.7272727272727273
giyim/dış giyim/ceket & yelek/ceket,201.0,0.208955223880597,0.75,0.5714285714285714,0.6486486486486487
ev & mobilya/mobilya/elektrik & aydınlatma/avize,194.0,0.19072164948453607,0.625,0.13513513513513514,0.2222222222222222
ev & mobilya/ev/sofra & mutfak/mutfak saklama ve düzenleme/saklama kabı,193.0,0.45595854922279794,0.9629629629629629,0.29545454545454547,0.45217391304347826
ev & mobilya/mobilya/halı / kilim/halı,174.0,0.22413793103448276,0.6285714285714286,0.5641025641025641,0.5945945945945946
giyim/üst giyim/gömlek,164.0,0.2621951219512195,0.9642857142857143,0.627906976744186,0.7605633802816901
ayakkabı/spor ayakkabı/koşu & antrenman ayakkabısı,147.0,0.2585034013605442,0.8571428571428571,0.7894736842105263,0.821917808219178
kozmetik & kişisel bakım/parfüm ve deodorant/parfüm,130.0,0.27692307692307694,0.8125,0.7222222222222222,0.7647058823529411
aksesuar/takı & mücevher/bileklik/çelik bileklik,126.0,0.4126984126984127,0.6721311475409836,0.7884615384615384,0.7256637168141593
ayakkabı/sandalet ve terlik/terlik,120.0,0.26666666666666666,0.9166666666666666,0.6875,0.7857142857142857
giyim/alt giyim/eşofman/eşofman altı,119.0,0.2184873949579832,0.9523809523809523,0.7692307692307693,0.851063829787234
ev & mobilya/ev/ev tekstili/yatak odası tekstili/nevresim takımı/çift kişilik nevresim,118.0,0.09322033898305085,0.6666666666666666,0.36363636363636365,0.47058823529411764
ev & mobilya/ev/sofra & mutfak/sofra/kahve fincanı,116.0,0.19827586206896552,0.7222222222222222,0.5652173913043478,0.6341463414634146
ev & mobilya/ev/sofra & mutfak/pişirme/tencere,113.0,0.20353982300884957,1.0,0.6521739130434783,0.7894736842105263
giyim/elbise,109.0,0.1926605504587156,0.7692307692307693,0.47619047619047616,0.5882352941176471
ayakkabı/topuklu ayakkabı/klasik topuklu ayakkabı,102.0,0.22549019607843138,0.8181818181818182,0.391304347826087,0.5294117647058824
ev & mobilya/ev/ev dekorasyon/yapay & kuru çiçek,102.0,0.29411764705882354,0.8695652173913043,0.6666666666666666,0.7547169811320755
ev & mobilya/ev/sofra & mutfak/sofra/tabak,102.0,0.2549019607843137,0.8181818181818182,0.34615384615384615,0.4864864864864865
ayakkabı/spor ayakkabı/yürüyüş ayakkabısı,101.0,0.09900990099009901,0.6363636363636364,0.7,0.6666666666666666
giyim/alt giyim/jeans,99.0,0.24242424242424243,0.8823529411764706,0.625,0.7317073170731707
ev & mobilya/mobilya/halı / kilim/yolluk,97.0,0.422680412371134,0.6904761904761905,0.7073170731707317,0.6987951807228916
süpermarket/sağlık/gıda takviyesi ve vitamin/vitamin,96.0,0.46875,0.9333333333333333,0.3111111111111111,0.4666666666666667
giyim/üst giyim/kazak & hırka/kazak,94.0,0.2553191489361702,0.8571428571428571,0.5,0.631578947368421
ayakkabı/günlük ayakkabı/loafer ayakkabı,90.0,0.2222222222222222,0.7619047619047619,0.8,0.7804878048780488
ayakkabı/günlük ayakkabı/casual ayakkabı,88.0,0.3181818181818182,0.9285714285714286,0.4642857142857143,0.6190476190476191
kozmetik & kişisel bakım/saç bakım/şampuan,87.0,0.13793103448275862,0.5,0.5,0.5
giyim/abiye & mezuniyet elbisesi,85.0,0.2823529411764706,0.7333333333333333,0.4583333333333333,0.5641025641025641
otomobil & motosiklet/motosiklet/motosiklet koruma ekipmanları/motosiklet kaskı,77.0,0.37662337662337664,0.8181818181818182,0.6206896551724138,0.7058823529411765
ev & mobilya/ev/ev tekstili/yatak odası tekstili/nevresim takımı/tek kişilik nevresim,76.0,0.13157894736842105,0.5,0.4,0.4444444444444444
ev & mobilya/mobilya/elektrik & aydınlatma/aplik,75.0,0.26666666666666666,0.5555555555555556,0.75,0.6382978723404256
ev & mobilya/ev/ev dekorasyon/kırlent & kırlent kılıfı,74.0,0.08108108108108109,0.6666666666666666,0.6666666666666666,0.6666666666666666
kozmetik & kişisel bakım/saç bakım/saç boyası,73.0,0.273972602739726,0.7333333333333333,0.55,0.6285714285714286
ayakkabı/sandalet ve terlik/sandalet,72.0,0.3055555555555556,0.9,0.4090909090909091,0.5625
giyim/tesettür giyim/eşarp,72.0,0.2916666666666667,0.7222222222222222,0.6190476190476191,0.6666666666666666
